Date,Open,High,Low,Close,Adj Close,Volume
2008-10-03,102.292458,102.292458,102.292458,102.292458,50.414948,0
2008-10-06,102.292458,102.292458,102.292458,102.292458,50.414948,547
2008-10-07,102.292458,102.292458,102.292458,102.292458,50.414948,25729
2008-10-08,102.292458,102.292458,102.292458,102.292458,52.770874,0
2008-10-09,97.725662,97.725662,97.725662,97.725662,50.414951,273
2008-10-10,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-13,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-14,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-15,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-16,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-17,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-20,97.725662,97.725662,97.725662,97.725662,50.414951,821
2008-10-21,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-22,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-23,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-24,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-27,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-28,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-29,97.725662,97.725662,97.725662,97.725662,50.414951,6021
2008-10-30,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-10-31,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-03,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-04,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-05,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-06,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-07,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-10,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-11,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-12,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-13,97.725662,97.725662,97.725662,97.725662,50.414951,0
